feature,importance_gain,importance_split
ind_L091_neg_no_flat_personal_work_surface,610.0208339132369,33
vertical_spread,204.430700853467,87
ind_L091_neg_ambient_chandelier_overhead_lighting,181.91471074521542,23
total_stuff_count,146.6443507000804,43
ind_L091_pos_large_desk,134.73029851913452,26
scene_depth_median_m,129.5294662900269,103
scene_complexity,102.6110525727272,67
num_unique_classes,84.45277265459299,41
scene_depth_std_m,82.34727729670703,91
ind_L091_neg_no_ergonomic_seating,81.98877024650574,6
ind_L091_neg_high_traffic_public_layout,69.94970156252384,26
ind_L091_pos_large_open_space,69.22819083929062,36
scene_depth_range_m,68.63683163188398,46
mean_object_area,59.978399097919464,55
ind_L091_neg_large_open_space,56.951889753341675,7
depth_diff_bed_wall_proxy,42.64021019637585,36
furniture_clutter_index,40.427908178418875,48
ind_L091_pos_dining_table,40.397710263729095,17
free_floor_fraction,38.450317710638046,30
count_book,37.895709082484245,17
ind_L091_neg_decorative_plant_arrangements,35.93910026550293,2
depth_diff_sofa_coffee_table,33.854383543133736,24
dist_chair_chair,31.07418592274189,23
count_dining_table,30.407077103853226,26
ind_L091_pos_ceiling_lights,27.240550190210342,16
dist_sofa_chair,26.986830353736877,5
ind_L091_pos_large_windows,26.621885001659393,17
ind_L091_pos_floor_wood,25.78382609784603,22
ind_L091_pos_bookshelf_with_reference_materials,23.074124738574028,17
count_chair,21.115995578467846,19
total_object_count,21.0305795930326,18
ind_L091_neg_chairs,19.396593064069748,25
presence_ceiling_merged,19.309829205274582,13
presence_vase,17.295939922332764,5
ind_L091_neg_no_dedicated_workspace_layout,16.712355077266693,6
std_object_area,16.132249027490616,29
ind_L091_pos_closed_door_providing_privacy,14.472924917936325,8
presence_tv,14.016751945018768,11
presence_floor_wood,13.714445918798447,10
presence_window_other,13.016753368079662,13
dist_sofa_coffee_table,12.982909675687551,21
presence_wall_tile,12.55964607000351,11
ind_L091_pos_minimal_distractions,11.999911919236183,21
dist_desk_chair,11.468822091817856,12
count_wall_tile,10.530652940273285,6
depth_diff_chair_chair,10.381396025419235,15
dist_bed_wall_proxy,9.919216126203537,15
largest_object_area,9.545504100620747,13
dist_bed_nightstand,9.11335801333189,11
ind_L091_pos_natural_light_from_windows,7.942557133734226,9
depth_diff_sofa_chair,7.6173538863658905,11
depth_diff_desk_chair,7.477279871702194,6
presence_dining_table,6.9266490042209625,9
presence_potted_plant,6.837511986494064,3
depth_diff_bed_nightstand,6.516136914491653,16
count_vase,6.467173099517822,7
ind_L091_neg_ambient_lighting,6.328280836343765,2
count_bowl,6.205472946166992,18
ind_L091_neg_ceiling,5.362265065312386,10
count_wine_glass,4.966971933841705,4
dist_bed_lamp,4.797858998179436,6
count_tv,4.40598601102829,5
presence_water_other,3.9866430312395096,8
ind_L091_neg_floor,3.6789310723543167,11
count_sink,3.481500029563904,2
presence_bowl,3.4781620502471924,3
dist_desk_monitor,3.401798978447914,9
presence_wall_wood,3.389529973268509,5
ind_L091_neg_large_windows,3.211836040019989,12
presence_floor_other_merged,3.0951330065727234,6
count_ceiling_merged,3.049303025007248,7
count_bed,3.0295599848031998,11
count_floor_other_merged,2.955032914876938,4
presence_pillow,2.7263940274715424,5
ind_L091_neg_couch,2.5898460000753403,9
presence_window_blind,2.54244202375412,2
depth_diff_bed_lamp,2.476424001157284,7
presence_shelf,2.3037420511245728,2
presence_light,2.240765020251274,5
