feature,importance_gain,importance_split
ind_L079_pos_absence_of_seating_furniture,0.0,0
ind_L079_neg_absence_of_seating_furniture,0.0,0
dist_sofa_sofa,0.0,0
dist_chair_monitor,0.0,0
ind_L079_neg_absence_of_lighting,0.0,0
ind_L079_pos_bar_stools,0.0,0
ind_L079_pos_white_walls,0.0,0
dist_bed_nightstand,0.0,0
ind_L079_neg_white_walls,0.0,0
ind_L079_pos_vases,0.0,0
dist_counter_refrigerator,0.0,0
dist_stove_refrigerator,0.0,0
ind_L079_neg_vases,0.0,0
ind_L079_pos_countertop,0.0,0
ind_L079_pos_absence_of_hard_prep_surfaces,0.0,0
ind_L079_neg_hardwood_floors,0.0,0
ind_L079_pos_absence_of_cooking_appliances,0.0,0
ind_L079_pos_chair,0.0,0
ind_L079_neg_hard_flooring,0.0,0
ind_L079_pos_hard_flooring,0.0,0
ind_L079_neg_six_burner_gas_range_with_range_hood_overhead,0.0,0
ind_L079_neg_cabinets,0.0,0
ind_L079_pos_white_chairs,0.0,0
ind_L079_pos_cabinets,0.0,0
ind_L079_neg_white_chairs,0.0,0
ind_L079_pos_no_cooking_appliances,0.0,0
ind_L079_neg_stove,0.0,0
ind_L079_pos_potted_plants,0.0,0
ind_L079_pos_stove,0.0,0
ind_L079_neg_wall_mounted_tv,0.0,0
ind_L079_pos_wall_mounted_tv,0.0,0
ind_L079_neg_work_triangle_layout__stove___sink___fridge_,0.0,0
ind_L079_pos_work_triangle_layout__stove___sink___fridge_,0.0,0
ind_L079_neg_potted_plants,0.0,0
ind_L079_neg_chair,0.0,0
ind_L079_pos_no_entertainment_media,0.0,0
ind_L079_neg_no_entertainment_media,0.0,0
ind_L079_pos_upper_and_lower_wood_cabinets,0.0,0
ind_L079_neg_counter,0.0,0
ind_L079_pos_counter,0.0,0
ind_L079_neg_white_cabinets,0.0,0
ind_L079_pos_white_cabinets,0.0,0
ind_L079_neg_upper_and_lower_wood_cabinets,0.0,0
ind_L079_pos_refrigerator,0.0,0
ind_L079_neg_refrigerator,0.0,0
ind_L079_neg_potted_plant,0.0,0
ind_L079_pos_chairs_around_the_dining_table,0.0,0
ind_L079_pos_potted_plant,0.0,0
ind_L079_neg_vase,0.0,0
ind_L079_pos_six_burner_gas_range_with_range_hood_overhead,0.0,0
ind_L079_pos_vase,0.0,0
ind_L079_neg_dining_tables,0.0,0
ind_L079_pos_dining_tables,0.0,0
ind_L079_neg_chairs_around_the_dining_table,0.0,0
