model,precision,recall,f1
Indicator-LGBM,0.9,0.5724600000000001,0.6794
LightGBM,0.8165800000000001,0.4513999999999999,0.5650999999999999
LinearRegression,0.76166,0.48495999999999995,0.58192
Mean,0.1619,0.2,0.17894000000000002
