row_affordance,L059,L079,L091,L130,L141
L059,0.35,0.016666666666666666,0.2976190476190476,0.3476190476190476,0.2714285714285714
L079,0.016666666666666666,0.16428571428571428,0.14285714285714285,0.1619047619047619,0.030952380952380953
L091,0.2976190476190476,0.14285714285714285,0.7714285714285715,0.719047619047619,0.3619047619047619
L130,0.3476190476190476,0.1619047619047619,0.719047619047619,0.8785714285714286,0.39285714285714285
L141,0.2714285714285714,0.030952380952380953,0.3619047619047619,0.39285714285714285,0.42857142857142855
