feature,importance_gain,importance_split
depth_diff_chair_chair,175.51446592062712,29
vertical_spread,121.48016066290438,145
scene_depth_range_m,105.92226208746433,162
ind_L141_pos_natural_light,104.29246850311756,16
scene_depth_median_m,88.95325145870447,170
dist_chair_chair,86.22632328793406,25
ind_L141_pos_large_open_space,82.0198171120137,18
free_floor_fraction,72.33887362107635,89
num_unique_classes,67.11068831197917,65
count_chair,66.17519015260041,23
scene_depth_std_m,55.66544077731669,106
scene_complexity,47.30869621038437,53
presence_potted_plant,42.67411386966705,10
mean_object_area,41.974438862875104,70
presence_window_other,40.34254718571901,15
total_stuff_count,38.29457497037947,51
count_potted_plant,37.89497796446085,20
total_object_count,37.80555031076074,40
furniture_clutter_index,35.84214077144861,56
std_object_area,31.60046973079443,53
largest_object_area,26.551297288388014,50
count_bed,22.974630653858185,7
presence_ceiling_merged,22.8789199590683,21
count_sink,22.859022837132215,17
presence_dining_table,21.152915596961975,4
ind_L141_pos_unobstructed_floor_space,20.787772551178932,30
count_window_other,18.97295258566737,13
ind_L141_pos_large_windows,18.02932783216238,25
count_ceiling_merged,17.469479277729988,13
presence_vase,17.322614930570126,8
presence_floor_wood,17.06357641518116,18
depth_diff_bed_wall_proxy,16.31980499625206,6
dist_desk_chair,14.935744598507881,25
ind_L141_pos_hardwood_flooring,13.267650485038757,6
depth_diff_sofa_chair,11.73293086513877,9
depth_diff_desk_chair,10.935842510312796,26
ind_L141_neg_chair,10.585117444396019,18
presence_mirror_stuff,9.531384989619255,9
count_mirror_stuff,9.355868875980377,5
presence_sink,9.280046004801989,7
dist_sofa_coffee_table,9.2529117166996,22
ind_L141_pos_unobstructed_floor_area,8.003481030464172,19
count_dining_table,7.115999910980463,12
count_vase,5.798600614070892,2
presence_tv,5.719409191980958,11
presence_bed,5.472073629498482,7
count_light,4.929845007136464,5
ind_L141_pos_minimal_furniture,4.863999962806702,2
dist_bed_lamp,4.7093288116157055,24
presence_wall_tile,3.8849354460835457,6
count_tree_merged,3.738256558775902,7
presence_floor_other_merged,3.2764086201786995,7
presence_tree_merged,3.2545084208250046,13
count_shelf,3.1863699853420258,2
presence_light,2.762077895924449,11
count_door_stuff,2.6765300035476685,2
count_floor_wood,2.6709750294685364,2
dist_bed_wall_proxy,2.3968271389603615,7
count_curtain,2.3119699954986572,1
count_wall_tile,2.253659326583147,7
presence_stairs,2.0278530418872833,3
ind_L141_neg_rug,1.9431068021804094,12
count_towel,1.912060022354126,1
presence_chair,1.8716730177402496,4
ind_L141_pos_floor_wood,1.6156504526734352,2
count_bowl,1.5958719700574875,5
count_stairs,1.5071960389614105,2
