feature,importance_gain,importance_split
presence_bed,3534.81627869606,46
count_bed,962.6894409656525,13
count_chair,569.1866117343307,69
mean_object_area,561.3964494764805,151
vertical_spread,541.9120254442096,186
scene_depth_median_m,422.0229329080321,126
total_stuff_count,347.731338955462,118
presence_towel,339.9903539419174,16
dist_bed_wall_proxy,252.30599741637707,17
ind_L059_pos_soft_lighting,216.2980972826481,48
free_floor_fraction,206.6613422073424,169
depth_diff_chair_chair,206.1420672237873,68
presence_dining_table,202.2893230319023,35
ind_L059_neg_no_bed_visible,183.94866493344307,50
furniture_clutter_index,182.75026343017817,93
scene_depth_std_m,164.96560978889465,142
scene_depth_range_m,158.666460725246,159
ind_L059_neg_no_furniture_arrangement_conducive_to_sleep,157.0181690901518,31
count_towel,148.8395023047924,7
ind_L059_pos_wooden_nightstand_with_bedside_lamp,132.78446865081787,20
scene_complexity,120.93155553936958,70
presence_window_other,117.39819461852312,76
ind_L059_neg_couch,104.18638008832932,17
ind_L059_neg_no_bed_or_furniture,103.63271157443523,46
count_potted_plant,95.31793011724949,64
presence_mirror_stuff,92.69221998751163,39
largest_object_area,85.23703964799643,60
depth_diff_desk_chair,81.43715569376945,66
dist_chair_chair,80.98746272549033,12
presence_curtain,78.64886057376862,15
ind_L059_neg_no_bed_or_resting_surface,67.55138263106346,26
ind_L059_pos_bed,61.39467400312424,42
std_object_area,60.56835092045367,52
dist_desk_chair,53.8006921261549,51
count_curtain,48.20295798778534,6
presence_vase,47.73775762319565,22
ind_L059_pos_queen_bed_with_duvet_and_pillows,46.98305022716522,17
num_unique_classes,45.50278116762638,30
count_window_other,36.683248691260815,13
depth_diff_bed_nightstand,35.29769688844681,14
total_object_count,34.50004130229354,38
ind_L059_neg_seating_arrangement,32.052145570516586,18
presence_floor_wood,28.28204995393753,25
presence_couch,28.15455999970436,13
ind_L059_pos_floor_length_curtains_over_window,24.06167082488537,9
presence_stairs,23.992444321513176,25
ind_L059_neg_no_furniture_or_personal_items,23.721951067447662,14
count_book,23.636287301778793,38
dist_sofa_chair,22.78792905807495,21
count_dining_table,22.768362164497375,7
ind_L059_neg_vase,20.493257075548172,21
ind_L059_neg_chairs,19.99735387414694,25
count_bowl,19.887750938534737,48
presence_potted_plant,19.127854138612747,23
ind_L059_neg_potted_plants,18.307079136371613,16
count_vase,15.620442241430283,15
ind_L059_pos_folding_cot_against_wall,14.604214958846569,36
depth_diff_sink_counter,11.990663938224316,30
ind_L059_neg_hard_wood_flooring,11.66569098830223,35
ind_L059_neg_no_bed,10.898267060518265,10
presence_counter,9.633510932326317,15
presence_light,9.573457442224026,8
count_stairs,8.13233295083046,4
presence_door_stuff,8.023753076791763,6
ind_L059_neg_hard_floor,7.897957965731621,15
dist_desk_monitor,7.8922789841890335,24
ind_L059_pos_couch,7.5626378655433655,10
dist_bed_lamp,7.201986096799374,12
dist_sink_counter,6.6953649669885635,9
count_mirror_stuff,6.666020154953003,2
count_cup,6.661639973521233,14
presence_floor_other_merged,6.643680091947317,10
presence_tree_merged,6.4677190482616425,11
presence_sink,6.206774055957794,6
presence_pillow,5.839892953634262,11
depth_diff_sofa_coffee_table,5.830239310860634,7
presence_wall_tile,5.730467975139618,5
ind_L059_neg_hard_flooring,5.709400057792664,9
presence_book,5.3414201736450195,2
dist_sofa_coffee_table,5.221831023693085,11
ind_L059_neg_bar_stools,5.1673020124435425,9
ind_L059_neg_bookshelf,5.106624938547611,23
depth_diff_sofa_chair,5.002483069896698,5
depth_diff_desk_monitor,4.67088295519352,16
count_bottle,4.647770017385483,6
count_couch,4.436069846153259,2
depth_diff_bed_wall_proxy,4.346503958106041,7
ind_L059_neg_dining_table,4.231920003890991,2
presence_wall_stone,3.927000030875206,9
presence_sky_other_merged,3.6454820334911346,6
presence_bottle,3.639977976679802,11
dist_bed_nightstand,3.6372100114822388,2
ind_L059_neg_no_windows,3.449083998799324,11
presence_shelf,3.323861002922058,7
count_sink,3.2560779750347137,5
presence_oven,3.2325700521469116,2
ind_L059_neg_light,3.1225679516792297,6
count_floor_wood,2.876852035522461,3
presence_chair,2.6118870079517365,5
presence_wall_wood,2.4783200174570084,6
ind_L059_neg_potted_plant,2.246748000383377,8
ind_L059_neg_large_open_space,2.0489160120487213,5
ind_L059_neg_sink,1.9200990200042725,4
ind_L059_neg_high_ceilings,1.9174690246582031,8
count_counter,1.8312489986419678,3
dist_sofa_sofa,1.5728649944067001,5
count_toilet,1.5244269743561745,8
count_oven,1.4723399877548218,1
depth_diff_bed_lamp,1.3844399452209473,1
count_wall_tile,1.29885995388031,1
presence_wall_brick,1.2765890061855316,2
count_shelf,1.244339942932129,1
ind_L059_neg_hard_industrial_surfaces,1.2130910158157349,2
count_light,1.1688780188560486,2
