feature,importance_gain,importance_split
num_unique_classes,757.2064779698849,63
scene_complexity,454.1406434625387,55
ind_L130_pos_soft_lighting,347.9290919303894,45
mean_object_area,315.1746469736099,50
vertical_spread,301.4795919954777,77
total_stuff_count,204.4823671132326,44
dist_sofa_coffee_table,192.61805284023285,19
count_potted_plant,180.38496387004852,31
scene_depth_range_m,175.55555268749595,78
scene_depth_std_m,157.11453568190336,87
largest_object_area,150.7405954413116,24
presence_potted_plant,136.26279713213444,15
scene_depth_median_m,112.47028678655624,64
count_chair,111.2788540571928,44
count_couch,75.4063735306263,5
free_floor_fraction,75.38048163801432,20
std_object_area,70.28505635261536,15
furniture_clutter_index,65.63775715231895,19
ind_L130_pos_large_open_space,62.50426471233368,34
ind_L130_neg_seating_arrangement,60.61779010295868,15
depth_diff_sofa_coffee_table,58.76755312085152,9
ind_L130_neg_lack_of_soft_seating,55.17250835895538,13
ind_L130_pos_large_windows,54.70993500947952,19
dist_sofa_chair,48.93247961997986,5
dist_bed_lamp,38.598325312137604,29
total_object_count,35.3624037578702,19
presence_window_other,35.24240377545357,9
ind_L130_pos_two_armchairs_facing_sofa,34.825860142707825,17
ind_L130_pos_comfortable_seating,33.097617745399475,16
presence_couch,30.2141340225935,6
ind_L130_neg_counter,26.32680904865265,22
ind_L130_neg_sink,25.881630420684814,7
count_window_other,23.055148631334305,6
presence_floor_wood,22.998301461338997,11
ind_L130_neg_white_walls,15.81075993180275,19
ind_L130_pos_woven_rug_defining_seating_zone,15.39997610449791,8
dist_chair_chair,15.395164988934994,17
ind_L130_pos_soft_seating,15.314801067113876,15
ind_L130_pos_natural_light_from_windows,13.196833908557892,16
ind_L130_pos_window,12.515774130821228,16
ind_L130_pos_open_layout,12.006872020661831,4
ind_L130_pos_dining_table,11.781050086021423,6
presence_vase,11.705285847187042,10
presence_ceiling_merged,11.446004033088684,12
count_vase,10.972183972597122,13
count_floor_wood,10.569130897521973,6
dist_bed_wall_proxy,10.414556086063385,9
ind_L130_pos_u_shaped_sociopetal_seating_arrangement,10.298556208610535,6
depth_diff_chair_chair,10.012901984155178,13
count_dining_table,9.859338104724884,11
depth_diff_desk_chair,9.70879989862442,4
ind_L130_neg_large_open_space,8.81180813908577,13
presence_shelf,8.253793120384216,5
count_bed,8.074299812316895,1
ind_L130_pos_floor_lamp_with_warm_ambient_light,7.998491823673248,4
ind_L130_pos_chair,7.893023133277893,9
ind_L130_pos_rectangular_coffee_table_at_centre,7.0962300300598145,1
ind_L130_neg_chair,7.061849027872086,9
ind_L130_neg_bed,6.702189922332764,9
presence_floor_other_merged,6.43125706911087,12
depth_diff_chair_monitor,6.426063984632492,13
dist_sink_counter,5.679660201072693,2
ind_L130_neg_towel,5.666779041290283,6
ind_L130_pos_large_dining_table,5.601289868354797,2
ind_L130_pos_seating_arrangement,5.546545147895813,7
depth_diff_stove_sink,5.376033037900925,9
presence_sink,4.8502099215984344,4
ind_L130_neg_mirror,4.047951012849808,7
count_sink,3.8876399993896484,2
count_sky_other_merged,3.508650064468384,1
presence_curtain,3.4495599269866943,1
count_ceiling_merged,3.2528620064258575,5
dist_desk_chair,2.9721850156784058,3
dist_chair_monitor,2.6362099647521973,2
count_shelf,2.565229892730713,1
count_floor_other_merged,2.480964034795761,5
ind_L130_pos_three_seat_sofa,2.412480115890503,1
